Characters,Pinyin,English,HSK Level
爱,ài,to love; to like; to be fond of,1
八,bā,eight; 8,1
爸爸,bà ba,father,1
杯子,bēi zi,cup; glass,1
北京,běi jīng,Beijing,1
本,běn,classifier for books; origin; this,1
不客气,bú kè qi,you're welcome,1
不,bù,not; no,1
菜,cài,dish; vegetables; cuisine,1
茶,chá,tea,1
吃,chī,to eat,1
出租车,chū zū chē,taxi,1
打电话,dǎ diàn huà,to make a phone call,1
大,dà,big; large; great,1
的,de,structural particle (possessive/attributive),1
点,diǎn,o'clock; a bit; dot; point,1
电脑,diàn nǎo,computer,1
电视,diàn shì,television; TV,1
电影,diàn yǐng,movie; film,1
东西,dōng xi,thing; stuff,1
都,dōu,all; both; entirely,1
读,dú,to read; to study,1
对不起,duì bu qǐ,I'm sorry; excuse me,1
多,duō,many; much; a lot of,1
多少,duō shǎo,how much; how many,1
儿子,ér zi,son,1
二,èr,two; 2,1
饭店,fàn diàn,restaurant; hotel,1
飞机,fēi jī,airplane,1
分钟,fēn zhōng,minute,1
高兴,gāo xìng,happy; glad,1
个,gè,classifier for people or objects,1
工作,gōng zuò,job; work; task,1
狗,gǒu,dog,1
汉语,hàn yǔ,Chinese language,1
好,hǎo,good; well; very,1
号,hào,day of a month; number,1
喝,hē,to drink,1
和,hé,and; with; peace,1
很,hěn,very; quite,1
后面,hòu miàn,rear; back; behind,1
回,huí,to go back; to return,1
会,huì,can; able to; will,1
几,jǐ,how many; several; a few,1
家,jiā,home; family,1
叫,jiào,to call; to be called,1
今天,jīn tiān,today,1
九,jiǔ,nine; 9,1
开,kāi,to open; to start; to turn on,1
看,kàn,to look at; to watch,1
看见,kàn jiàn,to see; to catch sight of,1
块,kuài,unit of currency; piece; lump,1
来,lái,to come; to arrive,1
老师,lǎo shī,teacher,1
了,le,completed action marker,1
冷,lěng,cold,1
里,lǐ,inside; interior,1
六,liù,six; 6,1
吗,ma,question particle,1
妈妈,mā ma,mum; mother,1
买,mǎi,to buy; to purchase,1
猫,māo,cat,1
没关系,méi guān xi,it doesn't matter,1
没有,méi yǒu,haven't; doesn't exist; to not have,1
米饭,mǐ fàn,cooked rice,1
名字,míng zi,name,1
明天,míng tiān,tomorrow,1
哪,nǎ,which?,1
哪儿,nǎ er,where?,1
那,nà,that; those,1
呢,ne,question particle for subjects already mentioned,1
能,néng,to be able to; can,1
你,nǐ,you (informal),1
年,nián,year,1
女儿,nǚ ér,daughter,1
朋友,péng you,friend,1
漂亮,piào liang,pretty; beautiful,1
苹果,píng guǒ,apple,1
七,qī,seven; 7,1
前面,qián miàn,ahead; in front; preceding,1
钱,qián,coin; money,1
请,qǐng,please; to invite; to ask,1
去,qù,to go,1
热,rè,hot; heat,1
人,rén,person; people,1
认识,rèn shi,to know; to recognize,1
三,sān,three; 3,1
商店,shāng diàn,store; shop,1
上,shàng,on; above; upper,1
上午,shàng wǔ,morning,1
少,shǎo,few; little; lack,1
谁,shéi,who,1
什么,shén me,what?; anything,1
十,shí,ten; 10,1
时候,shí hou,time; moment; period,1
是,shì,to be; yes,1
书,shū,book,1
水,shuǐ,water; liquid,1
水果,shuǐ guǒ,fruit,1
睡觉,shuì jiào,to go to bed; to sleep,1
说,shuō,to speak; to say,1
四,sì,four; 4,1
岁,suì,years of age,1
他,tā,he; him,1
她,tā,she; her,1
太,tài,too (much); very; extremely,1
天气,tiān qì,weather,1
听,tīng,to listen; to hear,1
同学,tóng xué,classmate,1
喂,wèi,hello (on telephone); hey,1
我,wǒ,I; me; my,1
我们,wǒ men,we; us; our,1
五,wǔ,five; 5,1
喜欢,xǐ huan,to like; to be fond of,1
下,xià,down; below; lower; next,1
下午,xià wǔ,afternoon,1
下雨,xià yǔ,to rain; rainy,1
先生,xiān sheng,Mister (Mr.); husband; teacher,1
现在,xiàn zài,now; at present,1
想,xiǎng,to think; to want; to miss,1
小,xiǎo,small; tiny; young,1
小姐,xiǎo jie,young lady; Miss,1
些,xiē,some; few; several,1
写,xiě,to write,1
谢谢,xiè xie,to thank; thanks,1
星期,xīng qī,week,1
学生,xué sheng,student,1
学习,xué xí,to learn; to study,1
学校,xué xiào,school,1
一,yī,one; 1; a,1
一点儿,yī diǎn er,a little (bit),1
医生,yī shēng,doctor,1
医院,yī yuàn,hospital,1
衣服,yī fu,clothes,1
椅子,yǐ zi,chair,1
有,yǒu,to have; there is,1
月,yuè,month; moon,1
再见,zài jiàn,goodbye; see you again,1
在,zài,at; in; to exist,1
怎么,zěn me,how?; what?; why?,1
怎么样,zěn me yàng,how are things?; how about?,1
这,zhè,this; these,1
中国,zhōng guó,China,1
中午,zhōng wǔ,noon; midday,1
住,zhù,to live; to stay; to reside,1
桌子,zhuō zi,table; desk,1
字,zì,letter; character; word,1
昨天,zuó tiān,yesterday,1
做,zuò,to do; to make; to act as,1
坐,zuò,to sit; to take (a bus etc),1
吧,ba,modal particle (suggestion/confirmation),2
白,bái,white; blank; plain,2
百,bǎi,hundred; numerous,2
帮助,bāng zhù,assistance; to help,2
报纸,bào zhǐ,newspaper,2
比,bǐ,to compare; than,2
别,bié,do not; must not; other,2
宾馆,bīn guǎn,guesthouse; hotel,2
长,cháng,long; length,2
唱歌,chàng gē,to sing a song,2
出,chū,to go out; to come out; to occur,2
穿,chuān,to wear; to put on,2
次,cì,classifier for events: time; second,2
从,cóng,from; via; through,2
错,cuò,mistake; wrong; error,2
打篮球,dǎ lán qiú,to play basketball,2
大家,dà jiā,everyone,2
到,dào,to arrive; until; up to,2
得,de,structural particle after verb,2
等,děng,to wait for; to await; et cetera,2
弟弟,dì di,younger brother,2
第一,dì yī,first; number one,2
懂,dǒng,to understand; to know,2
对,duì,towards; at; right; correct,2
房间,fáng jiān,room,2
非常,fēi cháng,very; extremely; unusual,2
服务员,fú wù yuán,waiter; waitress; attendant,2
高,gāo,high; tall; above average,2
告诉,gào su,to tell; to inform,2
哥哥,gē ge,older brother,2
给,gěi,to give; to; for,2
公共汽车,gōng gòng qì chē,bus,2
公司,gōng sī,company; firm; corporation,2
贵,guì,expensive; precious,2
过,guo,particle indicating completion of action,2
孩子,hái zi,child,2
还,hái,still; yet; also; too,2
好吃,hǎo chī,tasty; delicious,2
黑,hēi,black; dark,2
红,hóng,red; revolutionary,2
火车站,huǒ chē zhàn,train station,2
机场,jī chǎng,airport,2
鸡蛋,jī dàn,egg; hen's egg,2
件,jiàn,classifier for clothes/events; item,2
教室,jiào shì,classroom,2
姐姐,jiě jie,older sister,2
介绍,jiè shào,to introduce; to recommend,2
近,jìn,near; close to; approximately,2
进,jìn,to enter; to advance,2
就,jiù,just; at once; only; then,2
觉得,jué de,to think; to feel,2
咖啡,kā fēi,coffee,2
开始,kāi shǐ,to begin; beginning; to start,2
考试,kǎo shì,exam; test,2
可能,kě néng,possible; maybe; perhaps,2
可以,kě yǐ,can; may; able to,2
课,kè,class; lesson; subject,2
快,kuài,rapid; quick; soon; clever,2
快乐,kuài lè,happy; merry,2
累,lèi,tired; weary,2
离,lí,to leave; away from,2
两,liǎng,two (quantities); both,2
零,líng,zero; nought,2
路,lù,road; path; way,2
旅游,lǚ yóu,trip; tourism; travel,2
卖,mài,to sell,2
慢,màn,slow,2
忙,máng,busy; hurriedly,2
每,měi,each; every,2
妹妹,mèi mei,younger sister,2
门,mén,gate; door; gateway,2
面条,miàn tiáo,noodles,2
男,nán,male,2
您,nín,you (polite),2
牛奶,niú nǎi,cow's milk,2
女,nǚ,female; woman; daughter,2
旁边,páng biān,side; beside; next to,2
跑步,pǎo bù,to run; to jog,2
便宜,pián yi,cheap; inexpensive,2
票,piào,ticket; ballot,2
妻子,qī zi,wife,2
起床,qǐ chuáng,to get up,2
千,qiān,thousand,2
铅笔,qiān bǐ,pencil,2
晴,qíng,clear; fine (weather),2
去年,qù nián,last year,2
让,ràng,to permit; to let; to yield,2
日,rì,day; date; sun; Japan,2
上班,shàng bān,to go to work,2
身体,shēn tǐ,body; health,2
生病,shēng bìng,to fall ill,2
生日,shēng rì,birthday,2
时间,shí jiān,time; period,2
事情,shì qing,affair; matter; thing,2
手表,shǒu biǎo,wrist watch,2
手机,shǒu jī,mobile phone; cell phone,2
说话,shuō huà,to speak; to talk,2
送,sòng,to deliver; to give (as a present),2
虽然…但是…,suī rán…dàn shì…,although…still…,2
它,tā,it (inanimate),2
踢足球,tī zú qiú,to play soccer/football,2
题,tí,topic; problem; question,2
跳舞,tiào wǔ,to dance,2
外,wài,outside; foreign; external,2
完,wán,to finish; whole; complete,2
玩,wán,to play; to have fun,2
晚上,wǎn shang,in the evening,2
往,wǎng,towards; to go in a direction,2
为什么,wèi shén me,why?; for what reason?,2
问,wèn,to ask,2
问题,wèn tí,question; problem; issue,2
